[2026-03-29T03:10:47.672Z] [INFO] [backend] Backend started {"host":"0.0.0.0","port":8080,"wsPath":"/ws"}
[2026-03-29T03:10:53.429Z] [INFO] [ws-gateway] Socket connected
[2026-03-29T03:10:53.435Z] [INFO] [activity] Activity recorded {"type":"agent.register","actorId":"agent-win-01","detail":"RAIKO Windows Agent","createdAt":"2026-03-29T03:10:53.435Z"}
[2026-03-29T03:11:08.454Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:11:08.454Z"}
[2026-03-29T03:11:23.451Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:11:23.451Z"}
[2026-03-29T03:11:38.462Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:11:38.462Z"}
[2026-03-29T03:11:53.477Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:11:53.477Z"}
[2026-03-29T03:12:08.481Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:12:08.481Z"}
[2026-03-29T03:12:23.489Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:12:23.489Z"}
[2026-03-29T03:12:38.491Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:12:38.491Z"}
[2026-03-29T03:12:53.491Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:12:53.491Z"}
[2026-03-29T03:13:08.504Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:13:08.504Z"}
[2026-03-29T03:13:23.518Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:13:23.518Z"}
[2026-03-29T03:13:38.534Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:13:38.534Z"}
[2026-03-29T03:13:53.544Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:13:53.544Z"}
[2026-03-29T03:14:08.544Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:14:08.544Z"}
[2026-03-29T03:14:23.554Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:14:23.554Z"}
[2026-03-29T03:14:38.564Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:14:38.564Z"}
[2026-03-29T03:14:53.578Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:14:53.578Z"}
[2026-03-29T03:15:08.589Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:15:08.589Z"}
[2026-03-29T03:15:23.624Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:15:23.624Z"}
[2026-03-29T03:15:38.637Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:15:38.637Z"}
[2026-03-29T03:15:53.651Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:15:53.651Z"}
[2026-03-29T03:16:08.656Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:16:08.656Z"}
[2026-03-29T03:16:23.662Z] [INFO] [activity] Activity recorded {"type":"heartbeat","actorId":"agent-win-01","detail":"online","createdAt":"2026-03-29T03:16:23.662Z"}
